time,mean,max,min,hor,ver,horabs,verabs
20220406_160044,0.28727518,1.029117346,0.000256789,-0.13000527,0.06924942,0.18566835,0.17674775
20220406_160045,0.282585424,0.953274786,0.00031954,-0.10229384,0.037924793,0.18492253,0.17077433
20220406_160045,0.283310227,0.939598858,0.000172954,-0.1270001,0.02579171,0.19383873,0.16612488
20220406_160046,0.306327622,0.953939617,0.000277205,-0.1770988,0.043300554,0.21884619,0.17085321
20220406_160046,0.289180322,0.992591321,0.000922004,-0.13434577,-7.24E-05,0.19635375,0.17304747
20220406_160047,0.289591651,0.98375392,0.00064496,-0.15414882,0.012977991,0.20238484,0.16698524
20220406_160048,0.303910306,1.014026761,0.000895012,-0.15373924,0.05426172,0.20613632,0.18004741
20220406_160048,0.29323278,1.028747082,0.000178752,-0.14035961,0.033889566,0.20078619,0.17443046
20220406_160049,0.329790809,1.166841984,0.001107311,-0.20717683,0.096008435,0.23547693,0.18445557
20220406_160049,0.318030519,1.054814219,0.000337889,-0.19314575,0.009269497,0.22808737,0.1785249
20220406_160050,0.304993243,1.006111264,0.000188507,-0.16450979,0.062072128,0.21068849,0.17687225
20220406_160050,0.295046989,1.041628122,0.000149329,-0.12859787,0.09204558,0.19212125,0.18407954
20220406_160051,0.305900745,0.975008547,0.000132248,-0.17169794,0.086651824,0.21441132,0.17813286
20220406_160051,0.312163709,1.040118337,0.000170128,-0.20009743,0.059440393,0.22988309,0.168499
20220406_160052,0.316711931,1.04463315,0.000428428,-0.16968644,0.11035828,0.21035652,0.19537461
20220406_160052,0.319236122,1.052951694,0.000189086,-0.18750903,0.079560645,0.2281529,0.17990161
20220406_160053,0.296695323,1.020628214,0.00017608,-0.13777725,0.02763085,0.1997155,0.17690323
20220406_160053,0.283134371,1.050512552,0.000555847,-0.072192356,0.06690726,0.17935961,0.18032469
20220406_160054,0.310686667,1.125124574,0.000145981,-0.14156784,0.09539528,0.2054062,0.18802755
20220406_160055,0.321128597,1.073883295,0.000430452,-0.12219323,0.13734032,0.19734763,0.21101202
20220406_160055,0.306864482,1.140019178,0.000268954,-0.07612459,0.15165564,0.18249184,0.20617908
20220406_160056,0.289282528,1.068872809,0.000303587,-0.10437556,0.066897094,0.18423,0.18266647
20220406_160056,0.297833019,1.137042999,0.000337261,-0.11494203,0.10070261,0.19171035,0.18760112
20220406_160057,0.295348825,1.170870781,0.000466194,-0.10598851,0.1009904,0.18904725,0.18613006
20220406_160058,0.300248238,1.131054759,0.000308722,-0.14836729,0.080435485,0.21157366,0.17313871
20220406_160058,0.325480575,1.230132818,0.000192508,-0.17135313,0.1487056,0.21200705,0.20517401
20220406_160059,0.322657962,1.181158781,0.000412602,-0.18598624,0.12209915,0.22265266,0.1913552
20220406_160059,0.300522973,1.152549148,0.000146029,-0.1606375,0.06744475,0.20614704,0.1749616
20220406_160100,0.324938374,1.210588336,3.62E-05,-0.20949583,0.09791087,0.23412387,0.18109049
20220406_160100,0.285215287,1.218850017,0.000375236,-0.09273197,0.053447317,0.17642848,0.18400046
20220406_160101,0.309217572,1.288626194,0.000291994,-0.17349508,0.07381183,0.21849705,0.17503265
20220406_160101,0.301478296,1.256566167,6.54E-05,-0.14164808,0.052739985,0.20044652,0.1843982
20220406_160102,0.318520139,1.220910788,0.000415641,-0.1876664,0.046090662,0.22970833,0.177404
20220406_160103,0.324206474,1.287598133,0.000289919,-0.19180991,0.04631212,0.23828569,0.1765528
20220406_160103,0.371239173,1.289388895,0.000245342,-0.2790558,0.07096597,0.29836795,0.17350166
20220406_160104,0.373658638,1.332911611,0.000171298,-0.2680063,0.08574881,0.28964174,0.1905939
20220406_160104,0.333087498,1.334156513,0.000320458,-0.21299914,0.104661226,0.2449709,0.18256608
20220406_160105,0.306836846,1.186433911,0.000374337,-0.14836904,0.053338528,0.21200049,0.18021666
20220406_160105,0.307175916,1.240511775,0.000491869,-0.14924051,0.079254255,0.20861198,0.18551765
20220406_160106,0.297536445,1.319233656,0.000545518,-0.050391003,0.1088939,0.1763415,0.20124729
20220406_160106,0.29798574,1.294430614,0.000208533,-0.10118069,0.10420314,0.18328358,0.19532107
20220406_160107,0.295280672,1.327711344,3.96E-05,-0.09784513,0.068942256,0.18418564,0.19160002
20220406_160107,0.300290783,1.199346185,0.000331613,-0.13100985,0.06876588,0.1973469,0.18637936
20220406_160108,0.299008723,1.234623313,6.16E-05,-0.1300773,0.07061,0.1947388,0.18727899
20220406_160108,0.31964106,1.223297596,0.000366668,-0.18943983,0.020789623,0.22758925,0.18077265
20220406_160109,0.317014219,1.3061167,9.37E-05,-0.18777776,0.014636938,0.22565515,0.17931898
20220406_160109,0.312213203,1.234622359,0.000187995,-0.15792462,0.029621655,0.21628417,0.18079054
