time,mean,max,min,hor,ver,horabs,verabs
20220401_122146,0.085725331,2.464220047,0,-0.018321577,-0.001224087,0.04920746,0.060035966
20220401_122147,0.074747802,1.460482478,0,-0.014745951,0.020995243,0.04953423,0.04511869
20220401_122147,0.07878607,1.248425484,0,-0.00620394,0.012122912,0.056517858,0.04402098
20220401_122147,0.071797938,1.919374824,0,-0.014512002,-0.004757121,0.04317024,0.04869966
20220401_122148,0.082502456,1.736636758,0,-0.015694536,-0.012908878,0.053571638,0.052220963
20220401_122148,0.068791538,1.19643414,0,-0.005070959,0.0147114,0.0474869,0.041418925
20220401_122148,0.087893461,1.504380465,0,-0.025199672,-0.018285543,0.05526148,0.057036873
20220401_122148,0.078814495,1.021965981,0,-0.016867578,-0.02530244,0.042224158,0.057017054
20220401_122149,0.085834533,1.590137482,0,-0.03163407,-0.02067961,0.05730418,0.053641826
20220401_122149,0.080155394,1.455839872,0,-0.026018264,0.003248334,0.049695883,0.053328812
20220401_122149,0.080055933,1.966775298,0,-0.030995525,-0.006126239,0.0569714,0.048009805
20220401_122150,0.080690216,1.483775735,0,-0.03093661,-0.016345961,0.05383683,0.052419562
20220401_122150,0.090278197,1.848338962,0,-0.033096284,0.04147092,0.058528688,0.0588943
20220401_122150,0.085988545,1.666338921,0,-0.022098545,0.009930432,0.057334602,0.052685384
20220401_122151,0.081589566,1.821431398,0,-0.022017688,0.024898982,0.0522369,0.0516782
20220401_122151,0.083521675,1.688892007,0,-0.024497723,0.032117046,0.053936932,0.054992687
20220401_122151,0.093214969,1.707889557,0,-0.042161755,0.019800724,0.057918355,0.060400866
20220401_122151,0.086507702,1.677474141,0,-0.018773917,0.030756837,0.052671235,0.056070972
20220401_122152,0.083907115,1.357132196,0,-0.015701748,0.03272623,0.053730976,0.057307336
20220401_122152,0.087898752,1.891686678,0,-0.026080767,0.016802996,0.06527551,0.049462117
20220401_122152,0.083964354,1.484591007,0,-0.017572887,0.039344255,0.050173778,0.058911096
20220401_122153,0.083328992,1.331748366,0,-0.021613149,0.04578833,0.049499657,0.055925258
20220401_122153,0.087703604,1.668662906,0,-0.037836332,0.024467258,0.055822138,0.055949923
20220401_122153,0.095820553,1.765985608,0,-0.048894126,0.015287257,0.067576505,0.05354957
20220401_122153,0.08996796,1.411319137,0,-0.04612529,0.025395622,0.05787148,0.058038533
20220401_122154,0.090351535,1.437425971,0,-0.05865437,0.003066312,0.071791284,0.04216092
20220401_122154,0.085586034,1.47999239,0,-0.050558556,0.025399217,0.0633254,0.04674661
20220401_122154,0.079607219,1.704422474,0,-0.03607925,0.023129852,0.052819025,0.046649076
20220401_122155,0.090024061,1.340959787,0,-0.044395883,0.00093271,0.066804975,0.047440823
20220401_122155,0.082238369,1.453073859,0,-0.041070852,0.030589696,0.050581537,0.05325045
20220401_122155,0.086225786,1.434403419,0,-0.033461664,0.026786752,0.057728507,0.05320519
20220401_122156,0.085220209,1.875398397,0,-0.048779335,0.007700247,0.06516436,0.043233335
20220401_122156,0.079859418,1.817518115,0,-0.028844042,0.020212859,0.058274463,0.042653702
20220401_122156,0.081973126,1.351785302,0,-0.03421792,0.025432719,0.058419395,0.048030756
20220401_122156,0.074233286,1.393779874,0,-0.02741167,1.46E-06,0.04949189,0.0447608
20220401_122157,0.09044415,1.405328989,0,-0.042135313,0.018298477,0.06564417,0.047510684
20220401_122157,0.085803347,1.590563774,0,-0.037345078,0.006062026,0.063160285,0.045732927
20220401_122157,0.08469122,1.323715568,0,-0.032671776,0.023912726,0.0579496,0.048662823
20220401_122158,0.078680792,1.2916466,0,-0.028499816,0.01120287,0.056330986,0.042902883
20220401_122158,0.084553677,1.183796167,0,-0.027327387,0.027841173,0.05447216,0.054705374
20220401_122158,0.084020579,1.716127396,0,-0.032662112,0.002115634,0.0597167,0.049934234
20220401_122158,0.082794967,1.697575212,0,-0.030438816,0.019654386,0.058392394,0.04937549
20220401_122159,0.087681936,1.752194405,0,-0.023112785,0.01600422,0.06296048,0.05197761
