time,mean,,,hor,ver,hormax,vermax
20220420_153525,1.66E-05,0.000235596,0,-5.49E-06,-1.14E-05,3.58E-05,2.95E-05
20220420_153525,0.016450675,0.066266179,5.30E-05,-0.004769296,0.002466832,0.043199349,0.050507057
20220420_153525,1.83E-05,0.000391914,0,-7.45E-06,-1.15E-05,3.26E-05,3.13E-05
20220420_153525,1.83E-05,0.000391914,0,-7.45E-06,-1.15E-05,3.26E-05,3.13E-05
20220420_153525,0.016743172,0.051855046,1.21E-05,-0.003960586,0.002813849,0.042702474,0.050089389
20220420_153525,1.89E-05,0.000399907,0,-7.89E-06,-1.18E-05,3.34E-05,3.06E-05
20220420_153525,1.89E-05,0.000399907,0,-7.89E-06,-1.18E-05,3.34E-05,3.06E-05
20220420_153525,0.017658155,0.093294151,7.12E-05,0.003285825,0.00575906,0.057166606,0.085143149
20220420_153525,1.82E-05,0.000399405,0,-7.57E-06,-1.14E-05,3.30E-05,3.05E-05
20220420_153525,1.82E-05,0.000399405,0,-7.57E-06,-1.14E-05,3.30E-05,3.05E-05
20220420_153525,0.018417323,0.091740958,7.97E-06,0.006062748,-0.000531948,0.052928898,0.036695667
20220420_153525,1.81E-05,0.000386073,0,-7.46E-06,-1.14E-05,3.19E-05,2.80E-05
20220420_153525,1.81E-05,0.000386073,0,-7.46E-06,-1.14E-05,3.19E-05,2.80E-05
20220420_153525,0.017564354,0.059045237,1.67E-05,0.005484118,-0.002273398,0.046110868,0.036386225
20220420_153525,1.56E-05,0.000250446,0,-4.41E-06,-1.01E-05,4.75E-05,3.81E-05
20220420_153526,1.56E-05,0.000250446,0,-4.41E-06,-1.01E-05,4.75E-05,3.81E-05
20220420_153526,0.016331808,0.059307415,4.71E-05,0.007298403,2.69E-05,0.048950031,0.041718069
20220420_153526,1.65E-05,0.000235317,0,-5.32E-06,-1.15E-05,3.55E-05,3.02E-05
20220420_153526,1.65E-05,0.000235317,0,-5.32E-06,-1.15E-05,3.55E-05,3.02E-05
20220420_153526,0.017167481,0.08055231,8.06E-05,-0.001372099,-0.001858432,0.057491984,0.073162615
20220420_153526,1.84E-05,0.000384965,0,-7.52E-06,-1.17E-05,3.09E-05,2.87E-05
20220420_153526,1.84E-05,0.000384965,0,-7.52E-06,-1.17E-05,3.09E-05,2.87E-05
20220420_153526,0.018201284,0.076772258,0.000200325,-0.004189161,-0.001396119,0.037911225,0.04899212
20220420_153526,1.82E-05,0.000382278,0,-7.40E-06,-1.13E-05,3.23E-05,3.26E-05
20220420_153526,1.82E-05,0.000382278,0,-7.40E-06,-1.13E-05,3.23E-05,3.26E-05
20220420_153526,0.01661392,0.057709947,5.60E-05,0.004160204,-0.001910362,0.045230083,0.048726991
20220420_153526,1.84E-05,0.000395488,0,-7.88E-06,-1.11E-05,3.09E-05,3.35E-05
20220420_153526,1.84E-05,0.000395488,0,-7.88E-06,-1.11E-05,3.09E-05,3.35E-05
20220420_153526,0.016569505,0.051975664,4.64E-05,0.006508365,0.003217408,0.051506769,0.039828207
20220420_153526,1.82E-05,0.000388255,0,-7.64E-06,-1.10E-05,3.40E-05,3.21E-05
20220420_153526,1.82E-05,0.000388255,0,-7.64E-06,-1.10E-05,3.40E-05,3.21E-05
20220420_153526,0.015392753,0.050617017,2.28E-05,-0.001423199,-0.003461122,0.038706202,0.034564208
20220420_153526,1.72E-05,0.000257174,0,-5.31E-06,-1.23E-05,3.50E-05,2.58E-05
20220420_153526,1.72E-05,0.000257174,0,-5.31E-06,-1.23E-05,3.50E-05,2.58E-05
20220420_153526,0.016254272,0.059996869,4.40E-05,-0.002420841,-0.000193234,0.04939558,0.044533066
20220420_153526,1.85E-05,0.000399913,0,-7.61E-06,-1.16E-05,3.24E-05,2.98E-05
20220420_153526,1.85E-05,0.000399913,0,-7.61E-06,-1.16E-05,3.24E-05,2.98E-05
20220420_153526,0.016435727,0.101973005,1.37E-05,0.001969583,-0.003948697,0.072270878,0.086479805
20220420_153527,1.80E-05,0.000392595,0,-7.34E-06,-1.11E-05,3.14E-05,3.09E-05
20220420_153527,0.018371077,0.101607725,4.75E-05,0.005431892,-0.001453287,0.045436304,0.04206178
20220420_153527,1.83E-05,0.000394082,0,-7.80E-06,-1.13E-05,3.08E-05,3.16E-05
20220420_153527,1.83E-05,0.000394082,0,-7.80E-06,-1.13E-05,3.08E-05,3.16E-05
20220420_153527,0.01818233,0.053189527,1.93E-05,-0.000205955,-0.000313235,0.046240777,0.048893705
20220420_153527,1.81E-05,0.000384966,0,-7.42E-06,-1.15E-05,3.14E-05,2.78E-05
20220420_153527,1.81E-05,0.000384966,0,-7.42E-06,-1.15E-05,3.14E-05,2.78E-05
20220420_153527,0.019036782,0.06661696,0.00010097,0.011143369,0.00129989,0.048244197,0.058071569
20220420_153527,1.82E-05,0.000382911,0,-7.45E-06,-1.13E-05,3.28E-05,3.13E-05
20220420_153527,1.82E-05,0.000382911,0,-7.45E-06,-1.13E-05,3.28E-05,3.13E-05
20220420_153527,0.016678301,0.11782141,3.49E-05,0.001975264,-0.000696971,0.083016351,0.098924033
20220420_153527,1.57E-05,0.000245968,0,-4.52E-06,-1.05E-05,4.80E-05,3.45E-05
20220420_153527,1.57E-05,0.000245968,0,-4.52E-06,-1.05E-05,4.80E-05,3.45E-05
20220420_153527,1.57E-05,0.000245968,0,-4.52E-06,-1.05E-05,4.80E-05,3.45E-05
20220420_153527,0.021327737,0.116933234,3.25E-05,-0.015852863,0.001537635,0.034774411,0.040300712
20220420_153527,1.63E-05,0.000238165,0,-5.06E-06,-1.14E-05,3.63E-05,2.83E-05
20220420_153527,0.016987739,0.069475099,7.96E-05,-0.002707936,-0.000831527,0.040753625,0.046786528
20220420_153527,1.83E-05,0.000407078,0,-7.97E-06,-1.10E-05,3.05E-05,3.06E-05
20220420_153527,1.83E-05,0.000407078,0,-7.97E-06,-1.10E-05,3.05E-05,3.06E-05
20220420_153527,1.83E-05,0.000407078,0,-7.97E-06,-1.10E-05,3.05E-05,3.06E-05
20220420_153527,0.018482638,0.066811167,3.76E-05,0.010618952,-0.000930088,0.04238119,0.055027258
20220420_153527,1.79E-05,0.000381306,0,-7.44E-06,-1.11E-05,3.00E-05,2.90E-05
20220420_153528,1.79E-05,0.000381306,0,-7.44E-06,-1.11E-05,3.00E-05,2.90E-05
20220420_153528,0.02015119,0.076216049,2.38E-05,-0.013055591,0.001176214,0.037299886,0.035154115
20220420_153528,1.70E-05,0.000256979,0,-5.44E-06,-1.19E-05,3.60E-05,2.89E-05
20220420_153528,1.70E-05,0.000256979,0,-5.44E-06,-1.19E-05,3.60E-05,2.89E-05
20220420_153528,0.017427719,0.068265177,7.55E-05,-0.005229543,0.004717946,0.049245365,0.043346271
20220420_153528,1.68E-05,0.000238988,0,-5.31E-06,-1.19E-05,3.62E-05,2.89E-05
20220420_153528,1.68E-05,0.000238988,0,-5.31E-06,-1.19E-05,3.62E-05,2.89E-05
20220420_153528,0.016171406,0.052224748,3.93E-05,0.002137603,-0.001228159,0.04278798,0.038371686
20220420_153528,1.81E-05,0.000390785,0,-7.40E-06,-1.15E-05,3.14E-05,2.84E-05
20220420_153528,1.81E-05,0.000390785,0,-7.40E-06,-1.15E-05,3.14E-05,2.84E-05
20220420_153528,0.016173938,0.064214818,2.45E-05,-0.001543649,0.000331268,0.05448008,0.037571188
