time,mean,max,min,hor,ver,horabs,verabs
20220406_153355,0.119737324,0.368771702,0.000586465,-0.025398282,0.109258264,0.03816602,0.10972371
20220406_153355,0.129707178,0.494464904,0.000609326,-0.005983585,0.120335795,0.03525067,0.121160835
20220406_153356,0.109145701,0.431814432,0.000239375,-0.0219423,0.09706149,0.037748408,0.09809329
20220406_153356,0.132049689,0.475492626,0.002488613,-0.009575892,0.12109693,0.04054313,0.12190085
20220406_153356,0.152075248,0.389163792,0.003298838,-0.006804138,0.14511435,0.033255447,0.14539552
20220406_153356,0.14222559,0.3770805,0.000290454,-0.010371931,0.13437238,0.034863424,0.13483779
20220406_153357,0.123933382,0.38507399,0.00028494,-0.04315087,0.10712519,0.051107973,0.10781302
20220406_153357,0.129779916,0.655848324,0.002057,-0.022006715,0.11869761,0.0411078,0.11879911
20220406_153357,0.146449953,0.367658377,0.000899764,-0.025763847,0.13734154,0.03981474,0.13753963
20220406_153358,0.148538848,0.35125491,0.000354528,0.008877924,0.1408446,0.033572398,0.14165658
20220406_153358,0.139944431,0.394648254,0.003197654,0.00641267,0.13075493,0.035825673,0.13164608
20220406_153358,0.154877109,0.431566268,0.001051045,0.003369317,0.14806768,0.033308506,0.1485052
20220406_153359,0.15389085,0.403350711,0.0005321,-0.029638184,0.14380187,0.042383723,0.14430553
20220406_153359,0.12585257,0.356266767,0.001587694,-0.011832775,0.11618799,0.03609003,0.11707283
20220406_153359,0.146489032,0.368189394,0.000529161,-0.041983113,0.13360648,0.049070533,0.13388133
20220406_153400,0.148132411,0.364927113,0.002114874,-0.004811852,0.14131384,0.033165343,0.14145504
20220406_153400,0.161682728,0.436492026,0.001472051,-0.025845932,0.15362734,0.03965104,0.15372668
20220406_153400,0.156095426,0.478402197,0.001422416,-0.011445721,0.14908049,0.035149723,0.14934093
20220406_153401,0.151570582,0.497782856,0.001939536,-0.011469611,0.14347763,0.034139153,0.14460433
20220406_153401,0.157378764,0.453226417,0.006596701,-0.024845561,0.14969926,0.038962707,0.14974676
20220406_153401,0.160121724,0.370842844,0.001562146,-0.02151735,0.15178658,0.039151195,0.15204936
20220406_153402,0.18746112,0.450190544,0.007939241,-0.013817855,0.17977726,0.037842322,0.18097903
20220406_153402,0.168168914,0.409339011,0.001432596,-0.015747897,0.16071604,0.037731364,0.16100588
20220406_153402,0.177167266,0.475601763,0.003267652,-0.016632697,0.17078109,0.035624962,0.17086448
20220406_153403,0.174486188,0.454302132,0.002072034,-0.036388863,0.16442488,0.046327464,0.1648981
20220406_153403,0.180494579,0.55836308,0.000845698,-0.038200926,0.17045231,0.046971396,0.17097132
20220406_153403,0.170761223,0.39338091,0.004835011,-0.028790722,0.16163912,0.042387616,0.16218892
20220406_153404,0.158199858,0.399999112,0.001298535,-0.023651127,0.1497016,0.038953967,0.14975767
20220406_153404,0.151527072,0.434190184,0.000740198,-0.035718378,0.13975553,0.04517661,0.14036176
20220406_153404,0.162105712,0.368663698,0.001218066,-0.030861586,0.15242787,0.04337191,0.15271206
20220406_153405,0.149630556,0.470976472,0.00280114,-0.05291628,0.13186722,0.0580231,0.1326569
20220406_153405,0.171194728,0.385941952,0.001542586,-0.03965051,0.16025035,0.04803247,0.16038294
20220406_153405,0.154693252,0.484402895,0.002448069,-0.03064353,0.14466628,0.043361142,0.14507672
20220406_153406,0.180979498,0.363861322,0.000984534,-0.014276582,0.17435835,0.035530135,0.17465682
20220406_153406,0.202435875,0.440514505,0.00029262,-0.006185653,0.1966293,0.03483191,0.19716343
20220406_153406,0.183003082,0.525420547,0.004016979,-0.031803604,0.17472073,0.04281446,0.17486326
20220406_153407,0.182496551,0.442211181,0.003920754,-0.03162827,0.1745058,0.04180935,0.17459555
20220406_153407,0.197345577,0.39508757,0.005577742,-0.036206145,0.18896903,0.04530596,0.1891577
20220406_153407,0.199541033,0.545687258,0.008414496,-0.047648896,0.18836275,0.054986272,0.18845911
20220406_153407,0.180371884,0.449288845,0.0055242,-0.030121999,0.17219423,0.041932147,0.17236431
20220406_153408,0.194292356,0.392743975,0.004757923,-0.025430012,0.1862892,0.040413007,0.18671109
20220406_153408,0.172450022,0.393255115,0.002634581,-0.02747778,0.16439913,0.04049015,0.16450766
20220406_153408,0.194448446,0.411557019,0.002110127,-0.013617569,0.18881156,0.03558728,0.18885063
20220406_153409,0.199282444,0.430624604,0.015543443,-0.003866912,0.19363394,0.035232205,0.19377059
20220406_153409,0.16735955,0.404962599,0.001495099,-0.044443894,0.15532798,0.050555136,0.15554963
20220406_153409,0.177748361,0.429729074,0.000955291,-0.05157472,0.16291367,0.057166245,0.16368245
20220406_153410,0.190000747,0.438774079,0.002928935,-0.03534913,0.18092176,0.04589384,0.180958
20220406_153410,0.176887589,0.474298507,0.002463426,-0.03947604,0.16416062,0.052799854,0.16426206
20220406_153410,0.186104194,0.380914778,0.002320527,-0.056869987,0.17125995,0.061625563,0.17126553
20220406_153411,0.195393656,0.660812855,0.004543948,-0.03158314,0.1870098,0.04375338,0.18729527
20220406_153411,0.20952134,0.430060327,0.002300645,-0.031243917,0.2026268,0.042500447,0.20275478
20220406_153411,0.196535466,0.421634138,0.021379545,-0.023772918,0.19013333,0.039426275,0.19016786
20220406_153412,0.197024399,0.423626184,0.001131622,-0.022755383,0.19024745,0.03905087,0.19042404
20220406_153412,0.192284617,0.388031751,0.001182611,-0.018498372,0.18611722,0.03590632,0.186303
20220406_153412,0.1991284,0.428306907,0.003485348,-0.019587742,0.19238482,0.038701277,0.19286676
20220406_153413,0.194577515,0.505899608,0.001567814,-0.036599524,0.18572567,0.045508582,0.18584925
20220406_153413,0.21977841,0.423817784,0.003844401,-0.01821864,0.21462625,0.035298795,0.21464817
20220406_153413,0.204836325,0.456194401,0.002592589,-0.03613296,0.19667788,0.046127304,0.19678465
20220406_153414,0.206699059,0.469150811,0.002418221,-0.023734858,0.20057562,0.03825514,0.20075639
20220406_153414,0.212895373,0.442213178,0.001790169,-0.045319702,0.20228079,0.05244325,0.20276076
20220406_153414,0.255872999,0.487595439,0.010836066,-0.002065586,0.25148916,0.03500522,0.25164074
20220406_153415,0.214531787,0.441097707,0.003683811,-0.01623238,0.20780277,0.0390725,0.20824043
20220406_153415,0.204363244,0.420012206,0.000965637,-0.024669105,0.19782121,0.03975309,0.19788915
