time,magmean,magmax,magmin,hor,ver,hor1,ver1
20220215_154923,0.191715806,0.601928473,6.96E-05,-0.10281625,-0.053729516,0.12884648,0.11668016
20220215_154924,0.174623048,0.730939627,0.000406307,-0.09303025,-0.013981962,0.121681735,0.100097746
20220215_154924,0.167455014,0.593572319,0.00033081,-0.08891523,0.021910481,0.11956563,0.09465011
20220215_154925,0.164145437,0.61223042,0.000197249,-0.078796566,0.00996131,0.116404295,0.09148315
20220215_154925,0.173334112,0.588110089,0.00042642,-0.09003672,0.051411893,0.12057281,0.10095227
20220215_154926,0.167579905,0.641364336,0.000669555,-0.09173602,0.022477176,0.11863083,0.09527569
20220215_154926,0.185921609,0.667205751,0.000334857,-0.09590274,0.056856286,0.12820931,0.109819055
20220215_154926,0.174266993,0.702032208,0.000352844,-0.0953085,0.028487904,0.12555803,0.09582902
20220215_154927,0.197604473,0.763044178,0.000400078,-0.12580754,0.06881763,0.13710071,0.114944264
20220215_154927,0.171958813,0.641750693,0.000318064,-0.082418635,0.028060576,0.11493973,0.10400676
20220215_154928,0.189283727,0.637993634,0.000418904,-0.12179627,0.026478635,0.13879555,0.10135607
20220215_154928,0.195212773,0.743433952,0.000499911,-0.13000959,0.048785742,0.14914583,0.099574335
20220215_154929,0.185803576,0.620748997,0.000193562,-0.11655337,0.019603385,0.13768329,0.09832169
20220215_154929,0.171519398,0.670955241,0.000184484,-0.10257595,-0.007190589,0.12046642,0.099384554
20220215_154929,0.200651583,0.695690513,0.000681629,-0.13572092,-0.044688005,0.15492694,0.10005917
20220215_154930,0.192465001,0.574171662,0.000249119,-0.12849262,0.012867693,0.147418,0.09743591
20220215_154930,0.196420652,0.77711457,0.00019506,-0.13206358,-0.013764816,0.14870001,0.10028699
20220215_154931,0.186184794,0.682063878,0.000191157,-0.11453713,-0.021732705,0.13523886,0.1040659
20220215_154931,0.198219186,0.610118449,0.000667923,-0.14300714,0.020536913,0.15596588,0.09480015
20220215_154931,0.200556883,0.582143664,0.000186541,-0.14600787,-0.004775851,0.15964887,0.09374056
20220215_154932,0.20002759,0.662568033,0.000205031,-0.13652393,0.007056276,0.1567366,0.09555204
20220215_154932,0.18621378,0.608720481,0.000149849,-0.12303592,-0.007961278,0.13916974,0.09723967
20220215_154933,0.183978767,0.585480213,0.000135728,-0.118923835,0.01979834,0.13689882,0.0975698
20220215_154933,0.214489907,0.711861312,0.000187665,-0.15916605,0.020041356,0.16775392,0.10630306
20220215_154933,0.202366021,0.62535733,0.000509671,-0.12990561,0.046824906,0.1513037,0.10677817
20220215_154934,0.197677058,0.612835109,0.000357867,-0.14302814,-0.00170056,0.1519172,0.09836672
20220215_154934,0.211399238,0.797583818,0.000202561,-0.15635397,0.012509811,0.166421,0.101308204
20220215_154935,0.213788874,0.706965268,0.000405653,-0.1666368,-0.000629058,0.17289753,0.09752464
20220215_154935,0.219570881,0.599762261,0.000410917,-0.17700303,0.008168791,0.18366234,0.09064676
20220215_154936,0.225278808,0.722523391,0.00077529,-0.18152128,0.021826942,0.19005111,0.092884034
20220215_154936,0.206990114,0.976422131,0.000792091,-0.15332171,0.026083551,0.1651161,0.09587561
20220215_154936,0.210428461,0.713722765,0.000177186,-0.15167436,0.032605488,0.1649555,0.101767875
20220215_154937,0.215387147,0.864608467,0.000406034,-0.16384168,0.024807991,0.17393132,0.10009968
20220215_154937,0.220707206,0.847102165,0.000317717,-0.16755007,0.055983853,0.17649183,0.10332552
20220215_154938,0.215806122,0.655042827,0.00027333,-0.15646754,0.021744188,0.16956396,0.10491379
20220215_154938,0.206103464,0.75110805,0.000327766,-0.15882637,0.019319251,0.16753814,0.0928205
20220215_154938,0.228268246,0.646887422,0.000594058,-0.18608561,0.020682307,0.19260757,0.096186414
20220215_154939,0.199943948,0.769949138,0.000463969,-0.14090952,0.019428661,0.15785648,0.09453563
20220215_154939,0.199737636,0.643001556,0.000231364,-0.13418373,0.036368277,0.15424246,0.10049873
20220215_154940,0.198018276,0.643444479,0.000282973,-0.14006972,0.036600154,0.14960808,0.103618346
20220215_154940,0.208800436,0.637415409,0.000307638,-0.1616607,0.028372377,0.16995253,0.09221754
20220215_154941,0.205249828,0.651843548,0.000484771,-0.15239178,0.024876883,0.16350758,0.096354365
20220215_154941,0.246085067,0.72641629,9.32E-05,-0.19775116,0.018670516,0.2042536,0.10631065
20220215_154941,0.230729341,0.665068448,0.000358087,-0.16445418,0.08274271,0.1787643,0.1169372
20220215_154942,0.235269535,0.802930534,0.000547973,-0.1688281,0.07962958,0.1796186,0.12066585
20220215_154942,0.21980046,0.646258771,0.000232631,-0.15549576,0.08347333,0.16626547,0.11646491
20220215_154943,0.226924137,0.641931713,0.000420913,-0.1641908,0.07624596,0.17682675,0.113342226
