time,magmean,magmax,magmin,hor,ver,horabs,verabs
20220216_112739,0.117043734,0.683428168,0.000244644,-0.06397888,0.007486259,0.08462582,0.063594215
20220216_112739,0.109371645,0.532434464,0.000170202,-0.045384277,-0.029216649,0.0751045,0.063885786
20220216_112740,0.111166246,0.557944,0.000140358,-0.0368576,-0.048379585,0.068140455,0.07270767
20220216_112740,0.123335924,0.953806341,0.000219627,-0.07323331,-0.024688859,0.08875634,0.067693226
20220216_112741,0.102860833,0.596203506,0.000163346,-0.026603572,-0.004477749,0.06775202,0.06266705
20220216_112741,0.117701244,0.645645559,0.000199693,-0.050493438,-0.033880815,0.079359815,0.07015933
20220216_112742,0.137166213,0.655250311,0.00037244,-0.08776477,-0.054552283,0.0983411,0.078625284
20220216_112742,0.116999737,0.70001328,0.00019446,-0.043845277,-0.03724276,0.07419272,0.073865384
20220216_112743,0.12072357,0.53969717,0.000141581,-0.06272939,0.007010219,0.08764136,0.06608349
20220216_112743,0.111082836,0.635607779,4.36E-05,-0.047189068,-0.009192428,0.07408261,0.06798915
20220216_112744,0.114130416,0.796026826,0.000208706,-0.055765178,-0.009145324,0.080163315,0.063812874
20220216_112745,0.105519361,0.638326347,0.000146046,-0.037890892,-0.01456562,0.071861185,0.06148781
20220216_112745,0.107399166,0.858281195,3.77E-05,-0.030197404,0.024275454,0.06968606,0.066886425
20220216_112746,0.113819512,0.813640893,0.000151853,-0.04240216,0.023184057,0.074326515,0.069848426
20220216_112746,0.113438534,0.624747634,6.84E-05,-0.015221193,0.049945284,0.06380463,0.08022617
20220216_112747,0.110823367,0.619410157,0.000114516,-0.013400795,0.05202292,0.059936274,0.0797631
20220216_112747,0.115939849,0.654567897,0.00020557,-0.022517018,0.054030366,0.06409013,0.08216861
20220216_112748,0.10939443,0.58406949,0.000125698,-0.04153082,0.000669856,0.07364539,0.06445083
20220216_112748,0.115652138,0.729357004,6.98E-05,-0.054885052,0.002941135,0.08046617,0.06720632
20220216_112749,0.123965138,0.53003782,0.000104612,-0.06828173,-0.03233223,0.08685323,0.0703477
