time,magmean,max,min,hor,ver,horabs,verabs
20220125_140336,9.175862292,16.37160683,0.109358266,8.46621,-0.8635643,8.473832,2.8538177
20220125_140337,9.151421435,16.38876343,0.054922838,8.450724,-0.8741586,8.458279,2.823899
20220125_140337,9.169711131,16.56476593,0.016105128,8.471933,-0.85530263,8.478117,2.8278153
20220125_140338,9.18204734,16.51216125,0.063515544,8.474789,-0.86373216,8.4811125,2.8535721
20220125_140339,9.186290925,16.47916412,0.030900756,8.488712,-0.88302153,8.498802,2.8294485
20220125_140339,9.173330481,16.41883659,0.0711165,8.46773,-0.8700033,8.476889,2.8399262
20220125_140340,9.148748943,16.47654915,0.09239848,8.442151,-0.91220176,8.447101,2.8415775
20220125_140340,9.179342888,16.35648537,0.056495938,8.475985,-0.8743974,8.4817705,2.8288443
20220125_140341,9.132840871,16.4805584,0.068912894,8.436935,-0.8397815,8.442682,2.816531
20220125_140341,9.200391728,16.45665932,0.060166772,8.499142,-0.89252496,8.504317,2.8459275
20220125_140342,9.15802195,16.37414551,0.051738568,8.458455,-0.8713243,8.464822,2.8433928
20220125_140342,9.149511654,16.52365112,0.037990011,8.451316,-0.89946586,8.456237,2.8255467
20220125_140342,9.147771374,16.4683094,0.082460225,8.448043,-0.8757998,8.45475,2.825531
20220125_140343,9.179700415,16.24088669,0.02357398,8.484389,-0.86605406,8.491987,2.8242872
20220125_140343,9.17604932,16.3412075,0.086687595,8.470322,-0.89100933,8.47722,2.8495345
20220125_140344,9.155773031,16.53538132,0.053044848,8.453953,-0.85465246,8.459173,2.8282125
20220125_140344,9.170602871,16.48036385,0.05618915,8.4713955,-0.8738023,8.476402,2.8357244
20220125_140345,9.135429722,16.47190857,0.062298127,8.432331,-0.8262984,8.441362,2.8187485
20220125_140345,9.182956792,16.3603344,0.090885259,8.477007,-0.8496936,8.484874,2.8417263
20220125_140346,9.154768679,16.41376877,0.053356506,8.451,-0.86482584,8.458696,2.830734
20220125_140346,9.14164059,16.46465111,0.036365878,8.438527,-0.8385019,8.444394,2.8314922
20220125_140347,9.140107468,16.39023018,0.046940241,8.4470625,-0.82295233,8.454984,2.8076355
20220125_140347,9.136904446,16.36980057,0.081394188,8.434189,-0.85658854,8.441806,2.8347328
20220125_140348,9.17066986,16.4293766,0.04183463,8.466244,-0.798596,8.473549,2.838913
20220125_140348,9.144649,16.50612831,0.021102475,8.452269,-0.8053652,8.456666,2.814234
20220125_140349,9.185747164,16.39772224,0.117094651,8.491125,-0.8136916,8.496522,2.8219087
20220125_140349,9.163908298,16.19459534,0.05824272,8.471961,-0.77093047,8.479576,2.8109899
20220125_140349,9.161475182,16.45119667,0.080752313,8.464784,-0.7820562,8.472157,2.8058336
20220125_140350,9.104637815,16.51171875,0.074412353,8.405527,-0.7550067,8.411568,2.812699
20220125_140350,9.05956068,16.42853165,0.07956434,8.360564,-0.70704806,8.371004,2.7943017
20220125_140351,9.091331352,16.35158539,0.037173018,8.400066,-0.7220681,8.406528,2.7953334
20220125_140351,9.122035198,16.29193115,0.037692636,8.437825,-0.79231364,8.446048,2.7825327
20220125_140352,9.159743302,16.10787964,0.068912469,8.466822,-0.8417542,8.47512,2.8096898
20220125_140352,9.123921547,16.49748421,0.038134512,8.435673,-0.7592515,8.440487,2.8091276
20220125_140353,9.050973135,16.26001358,0.036807209,8.35665,-0.8980974,8.36359,2.8010986
20220125_140353,9.058082062,16.16309738,0.035119705,8.364655,-1.0643873,8.372184,2.8105338
20220125_140354,9.014495157,15.76768112,0.039424803,8.291006,-1.3366495,8.299666,2.84628
