time,,,,hor,,horabs,,,horabs,
20220125_154336,0.093232159,0.474069625,0.000266657,-0.005635976,-0.020094534,0.057866186,0.059799824,,-0.006783814,-0.000519531
20220125_154337,0.090996024,0.629089713,9.72E-05,-0.018355947,0.00623717,0.059825704,0.055558786,,-0.004824296,-0.000519531
20220125_154337,0.092164707,0.653899193,0.000227758,-0.014206758,-0.030469963,0.054867767,0.061672628,,-0.009782233,-0.000519531
20220125_154338,0.094677775,0.569355249,0.000307032,-0.01025676,-0.028321134,0.05555143,0.06416939,,-0.00909857,-0.000519531
20220125_154338,0.102951169,0.577474058,0.000200607,-0.033865754,-0.02338678,0.06772977,0.06339014,,0.00307977,-0.000519531
20220125_154339,0.093368867,0.562198699,0.000168152,-0.006005076,-0.015408869,0.056719035,0.062003344,,-0.007930965,-0.000519531
20220125_154339,0.104328699,0.659429431,8.63E-05,-0.037638545,-0.020355051,0.06893875,0.06253458,,0.00428875,-0.000519531
20220125_154339,0.099300784,0.528319001,0.000187878,-0.031060684,-0.022855887,0.0638228,0.06173821,,-0.0008272,-0.000519531
20220125_154340,0.092567258,0.524660587,0.0002998,-0.0110162,-0.004898377,0.058714584,0.058577605,,-0.005935416,-0.000519531
20220125_154340,0.091384859,0.523638189,9.78E-05,-0.010918479,-0.003086257,0.057080097,0.058585327,,-0.007569903,-0.000519531
20220125_154341,0.097591783,0.734641731,8.96E-05,-0.007355248,0.027789185,0.058733717,0.06517561,,-0.005916283,-0.000519531
20220125_154341,0.093166242,0.626512349,5.69E-05,-0.012792001,-0.018455451,0.06000452,0.05807705,,-0.00464548,-0.000519531
20220125_154341,0.089819234,0.46979028,0.000165433,-0.007034618,0.011144396,0.05622526,0.057556164,,-0.00842474,-0.000519531
20220125_154342,0.092223679,0.479551226,6.92E-05,-0.009060422,0.014474291,0.060675137,0.057343416,,-0.003974863,-0.000519531
20220125_154342,0.096255945,0.479406536,0.000170577,-0.029432958,0.01158452,0.061328944,0.060780674,,-0.003321056,-0.000519531
20220125_154343,0.095687959,0.521617591,0.000139891,-0.017445035,0.027555635,0.05847792,0.06220374,,-0.00617208,-0.000519531
20220125_154343,0.101298357,0.573434293,0.000183438,-0.010631379,0.037878588,0.058051415,0.070144646,,-0.006598585,-0.000519531
20220125_154344,0.09315142,0.543614864,0.000172932,-0.00669732,0.008100769,0.059853382,0.058428977,,-0.004796618,-0.000519531
20220125_154344,0.097701003,0.511515915,0.000138195,-0.024855629,0.0061657,0.06050524,0.06221134,,-0.00414476,-0.000519531
20220125_154344,0.096232905,0.556731999,9.73E-05,-0.024890456,0.008309756,0.062407605,0.058906257,,-0.002242395,-0.000519531
20220125_154345,0.099439829,0.42624557,0.000137307,-0.021746362,0.040822,0.056219473,0.06966086,,-0.008430527,-0.000519531
20220125_154345,0.092287147,0.594335735,6.96E-05,-0.013798829,0.015621637,0.05478675,0.06192368,,-0.00986325,-0.000519531
20220125_154346,0.108018875,0.484065801,0.000262032,-0.020479534,0.05430992,0.065565564,0.07324626,,0.000915564,-0.000519531
20220125_154346,0.103843475,0.485096097,0.000189443,0.007700898,0.054248836,0.055180512,0.075599976,,-0.009469488,-0.000519531
20220125_154347,0.109676285,0.593116105,0.000254717,0.007086205,0.062335465,0.058139484,0.08105526,,-0.006510516,-0.000519531
20220125_154347,0.10492368,0.463232577,9.92E-05,0.008268239,0.05003605,0.058649424,0.07527837,,-0.006000576,-0.000519531
20220125_154347,0.100965703,0.521389723,8.48E-05,-0.011234372,0.031815782,0.061918546,0.06652032,,-0.002731454,-0.000519531
20220125_154348,0.091245922,0.546215892,5.57E-05,-0.016027626,0.00509881,0.05792613,0.057720203,,-0.00672387,-0.000519531
20220125_154348,0.09936669,0.671111643,0.000172724,-0.016609946,0.022541812,0.06126341,0.064808756,,-0.00338659,-0.000519531
20220125_154349,0.094922474,0.469927073,2.99E-05,-0.0146603,0.010351627,0.061148282,0.058611616,,-0.003501718,-0.000519531
20220125_154349,0.099444031,0.493424386,8.18E-05,-0.03852314,-0.012279342,0.06550788,0.05987123,,0.00085788,-0.000519531
20220125_154349,0.0974392,0.479701281,0.000136864,-0.03925201,0.008791246,0.06669837,0.057315342,,0.00204837,-0.000519531
20220125_154350,0.094753368,0.462693036,0.000138822,-0.021123387,-0.003581763,0.06019491,0.059426647,,-0.00445509,-0.000519531
20220125_154350,0.096026504,0.475618035,0.000174989,-0.02726705,0.027413119,0.06220345,0.059076875,,-0.00244655,-0.000519531
20220125_154351,0.100598433,0.563766658,0.000346047,-0.022276198,0.031231787,0.061191354,0.06588238,,-0.003458646,-0.000519531
20220125_154351,0.099210012,0.584569752,0.000194003,-0.029115533,0.024318941,0.060031332,0.06552341,,-0.004618668,-0.000519531
20220125_154352,0.104037612,0.515392721,1.89E-05,-0.027778286,0.04896309,0.0570127,0.07504892,,-0.0076373,-0.000519531
20220125_154352,0.108978694,0.586660326,0.00023061,-0.02469624,0.05877694,0.06277968,0.076118656,,-0.00187032,-0.000519531
20220125_154352,0.113023038,0.550138593,0.00020787,-0.030693084,0.058560595,0.064302325,0.08097981,,-0.000347675,-0.000519531
20220125_154353,0.102487006,0.589132369,0.000123441,-0.03802548,0.043364625,0.06223579,0.06948146,,-0.00241421,-0.000519531
20220125_154353,0.107607702,0.524167359,0.000216626,-0.001926617,0.057076484,0.058218066,0.079111375,,-0.006431934,-0.000519531
20220125_154354,0.105632578,0.537580252,0.000494372,-0.009036806,0.053200677,0.056089696,0.07785068,,-0.008560304,-0.000519531
20220125_154354,0.10736939,0.500781953,0.000120575,-0.054440297,0.017777808,0.07495194,0.061917655,,0.01030194,-0.000519531
20220125_154355,0.097847666,0.696150184,0.000114563,-0.029098384,0.018253721,0.06302353,0.061239854,,-0.00162647,-0.000519531
20220125_154355,0.099342152,0.506050408,0.000194515,-0.026083114,0.027985174,0.06566876,0.060433082,,0.00101876,-0.000519531
20220125_154355,0.104488282,0.744431973,0.000271821,-0.051111016,-0.000666466,0.07311792,0.059888158,,0.00846792,-0.000519531
20220125_154356,0.105054229,0.60164094,0.000270458,-0.043947175,0.011806631,0.07088229,0.06156852,,0.00623229,-0.000519531
20220125_154356,0.095183563,0.45096004,8.59E-05,-0.038299687,0.005323862,0.06507607,0.055892587,,0.00042607,-0.000519531
20220125_154357,0.10070195,0.643637359,3.06E-05,-0.04484675,0.009984429,0.06942616,0.05854862,,0.00477616,-0.000519531
20220125_154357,0.102434534,0.436446637,9.98E-05,-0.029558023,0.03361683,0.060586873,0.068957955,,-0.004063127,-0.000519531
20220125_154357,0.101877587,0.593966722,1.03E-05,-0.032994084,0.028159097,0.06315338,0.065648936,,-0.00149662,-0.000519531
20220125_154358,0.101358572,0.578249812,0.000354188,-0.035900272,0.024078362,0.06391595,0.06469249,,-0.00073405,-0.000519531
20220125_154358,0.097473473,0.499468178,0.000174472,-0.030728646,0.005904197,0.0650688,0.058750387,,0.0004188,-0.000519531
20220125_154359,0.095633293,0.557418883,0.000237705,-0.03132425,0.021787215,0.06256346,0.05859916,,-0.00208654,-0.000519531
20220125_154359,0.106435968,0.453532606,4.02E-05,-0.024903778,0.05437542,0.060896236,0.07411482,,-0.003753764,-0.000519531
20220125_154400,0.098869119,0.487683415,0.000321787,-0.005539435,0.040550247,0.053088583,0.07245795,,-0.011561417,-0.000519531
20220125_154400,0.105654043,0.582309067,0.00018253,-0.053329688,0.014709094,0.071728975,0.06204124,,0.007078975,-0.000519531
20220125_154400,0.107127658,0.59070003,2.08E-05,-0.050644044,0.025691152,0.071533844,0.064698294,,0.006883844,-0.000519531
20220125_154401,1.63410025,2.071228743,0.014701306,0.39100897,1.5826559,0.39146182,1.5826559,,0.32681182,-0.000519531
20220125_154401,3.306820296,3.913632393,0.032019001,0.8520151,3.1902328,0.85207075,3.1902328,,0.78742075,-0.000519531
20220125_154402,4.952918593,5.716592789,0.018045468,1.264379,4.782136,1.264379,4.782136,,1.199729,-0.000519531
20220125_154402,6.548939214,7.482228279,0.038649671,1.6500217,6.3290815,1.6500217,6.3290815,,1.5853717,-0.000519531
20220125_154403,8.140179095,9.35505867,0.033215255,2.042869,7.8690515,2.042869,7.8690515,,1.978219,-0.000519531
20220125_154403,9.772291573,11.12175846,0.07077191,2.4266424,9.453838,2.4266424,9.453838,,2.3619924,-0.000519531
20220125_154403,11.39038353,13.03198719,0.089507416,2.8366127,11.016691,2.8366127,11.016691,,2.7719627,-0.000519531
20220125_154404,12.95102718,14.76112556,0.0886271,3.2286766,12.524487,3.2286766,12.524487,,3.1640266,-0.000519531
20220125_154404,13.84112493,16.99006462,0.098149888,3.5812128,13.33773,3.5812128,13.33773,,3.5165628,-0.000519531
20220125_154405,11.76064677,17.49988365,0.094797216,3.5696578,11.133136,3.5700731,11.133136,,3.5054231,-0.000519531
20220125_154405,9.375559011,16.41786957,0.077886313,3.250538,8.613878,3.3177352,8.613878,,3.2530852,-0.000519531
20220125_154406,7.627453433,12.23368263,0.052726205,2.896736,6.717063,3.0728483,6.717063,,3.0081983,-0.000519531
20220125_154406,6.272590527,10.30087852,0.042557023,2.6319764,5.2246084,2.9193892,5.2246084,,2.8547392,-0.000519531
20220125_154406,1.053228658,4.025913239,0.001017535,-0.04204662,-0.18065497,0.6010646,0.74865484,,0.5364146,-0.000519531
20220125_154407,1.015187089,3.795499086,0.001900982,-0.07979057,-0.19310051,0.5711666,0.72503763,,0.5065166,-0.000519531
20220125_154407,1.015225749,4.022108078,0.001415931,-0.044187628,-0.1824624,0.5949507,0.7081157,,0.5303007,-0.000519531
20220125_154408,12.62510605,14.76689625,0.019612743,-3.0625706,-12.229448,3.0625706,12.229448,,2.9979206,-0.000519531
20220125_154408,11.14500746,12.83855247,0.086674362,-2.6850655,-10.800253,2.6850655,10.800253,,2.6204155,-0.000519531
20220125_154409,9.547304114,11.34379673,0.059160534,-2.293857,-9.253762,2.293857,9.253762,,2.229207,-0.000519531
20220125_154409,7.940342938,9.781620026,0.060938206,-1.9082745,-7.695871,1.9082745,7.695871,,1.8436245,-0.000519531
20220125_154409,6.310428764,7.578310013,0.040637564,-1.5028614,-6.1185174,1.5028616,6.1185174,,1.4382116,-0.000519531
20220125_154410,4.705191678,5.466274738,0.022877,-1.116834,-4.5622993,1.116853,4.5622993,,1.052203,-0.000519531
20220125_154410,3.099277721,3.67653656,0.01221306,-0.7253597,-3.0060997,0.7258059,3.0060997,,0.6611559,-0.000519531
20220125_154411,1.488130113,1.945897341,0.002603206,-0.3333739,-1.4442931,0.3351944,1.4442931,,0.2705444,-0.000519531
20220125_154411,0.145696285,0.507068396,0.000172366,0.052661605,0.09319253,0.07879145,0.10937898,,0.01414145,-0.000519531
20220125_154412,0.1350025,0.610709906,0.000178646,0.024189224,0.094815336,0.06508889,0.10734948,,0.00043889,-0.000519531
20220125_154412,0.111117803,0.588219762,0.00010098,-0.06431081,0.025210366,0.08051536,0.060630623,,0.01586536,-0.000519531
20220125_154412,0.128040877,0.549281478,0.000519301,-0.053911496,0.07360336,0.07671574,0.08744735,,0.01206574,-0.000519531
20220125_154413,0.119392205,0.714971721,0.000120813,-0.058052544,0.05523931,0.07683026,0.07582862,,0.01218026,-0.000519531
20220125_154413,0.121300688,0.535448134,0.00010076,-0.04972309,0.06463558,0.07506387,0.08073306,,0.01041387,-0.000519531
20220125_154414,0.111695094,0.481778145,0.000331697,-0.03902423,0.051181003,0.06609819,0.075957835,,0.00144819,-0.000519531
20220125_154414,0.115428284,0.49750331,0.000252491,-0.040238276,0.058243454,0.07019537,0.07737522,,0.00554537,-0.000519531
20220125_154415,0.118368504,0.461875409,0.000356921,-0.03347691,0.067356296,0.06343917,0.08784506,,-0.00121083,0.014633613
20220125_154415,0.124644725,0.666397274,0.000142553,-0.029778631,0.07644576,0.060832977,0.097162284,,-0.003817023,0.014633613
20220125_154415,0.115943128,0.417899519,0.000263111,-0.060448397,0.046659436,0.080004536,0.067730226,,0.015354536,0.014633613
20220125_154416,0.111071141,0.499070913,0.000117704,-0.0330794,0.05929888,0.06292557,0.078194074,,-0.00172443,0.014633613
20220125_154416,0.107454405,0.648383975,0.000221628,-0.04947103,0.026131295,0.06800038,0.068828575,,0.00335038,0.014633613
20220125_154417,0.124677517,0.654367745,0.000562247,-0.041015927,0.06884631,0.06898418,0.08987176,,0.00433418,0.014633613
20220125_154417,0.118817075,0.651145518,0.000304025,-0.06618559,0.036023166,0.08437601,0.0676613,,0.01972601,0.014633613
20220125_154418,0.127617236,0.580184817,0.000485614,-0.033230234,0.08603171,0.06596059,0.096495114,,0.00131059,0.014633613
20220125_154418,0.125838045,0.582201779,0.000368116,-0.047676973,0.07325639,0.07222835,0.088587426,,0.00757835,0.014633613
