time,,,,hor,,horabs,,,,,hor-,horabs-
20220125_153133,6.656406726,7.309749126,0.026999403,-0.03977801,6.6556687,0.07617552,6.6556687,,,,-0.04620201,0.010185141
20220125_153134,6.815736691,7.448053837,0.055769231,-0.06100944,6.8149004,0.083736576,6.8149004,,,,-0.06743344,0.017746197
20220125_153134,6.987745845,7.587375641,0.042553131,-0.071669124,6.9867673,0.092091575,6.9867673,,,,-0.078093124,0.026101196
20220125_153135,7.139773583,7.806034565,0.043955654,-0.07395433,7.1387796,0.09395604,7.1387796,,,,-0.08037833,0.027965661
20220125_153135,7.261439961,8.238260269,0.046934988,-0.07740319,7.2605157,0.09407376,7.2605157,,,,-0.08382719,0.028083381
20220125_153136,7.484483827,8.120769501,0.053045791,-0.06947105,7.4835925,0.0923448,7.4835925,,,,-0.07589505,0.026354421
20220125_153136,7.726477837,8.400426865,0.077215269,-0.064648755,7.7255955,0.09265811,7.7255955,,,,-0.071072755,0.026667731
20220125_153136,7.990345276,8.892139435,0.076015696,-0.07306668,7.9895163,0.09086518,7.9895163,,,,-0.07949068,0.024874801
20220125_153137,8.226996556,9.37682724,0.061896034,-0.046793412,8.2263,0.08336319,8.2263,,,,-0.053217412,0.017372811
20220125_153137,8.505647175,9.939954758,0.11263001,-0.046233434,8.505014,0.07977812,8.505014,,,,-0.052657434,0.013787741
20220125_153138,8.736070167,10.27704906,0.041983001,-0.049871027,8.735487,0.07794342,8.735487,,,,-0.056295027,0.011953041
20220125_153138,9.020531398,10.52972698,0.123551473,-0.059596095,9.019838,0.08598622,9.019838,,,,-0.066020095,0.019995841
20220125_153139,9.271333182,10.75394917,0.123545609,-0.036854725,9.270777,0.07719697,9.270777,,,,-0.043278725,0.011206591
20220125_153139,9.547251752,11.14383888,0.09696769,-0.06048135,9.546548,0.09180727,9.546548,,,,-0.06690535,0.025816891
20220125_153140,9.876981984,11.19546318,0.086881034,-0.062353488,9.876346,0.08833126,9.876346,,,,-0.068777488,0.022340881
